order_id,order_name,pos_location_name,returns_kes,order_created_in_window
6091308466331,#594294,Vivo Village Market,21100.0,True
6075697528987,#591425,Vivo Garden City,19100.0,True
6021709234331,#583832,Vivo Galleria,16601.0,True
6079244239003,#592160,Vivo Hub,14950.0,True
6098516508827,#595462,Vivo Sarit,14100.0,True
6081419215003,#592900,Vivo Garden City,13850.0,True
6091178967195,#594210,Vivo Kisumu,12400.0,True
6082938208411,#593105,Vivo Hub,11800.0,True
6127753855131,#600063,Vivo Mama Ngina St,11200.0,True
6118277709979,#598702,Safari Sarit,11200.0,True
6077412540571,#591742,Vivo T- Mall,11200.0,True
6073937395867,#591173,Vivo Mama Ngina St,11100.0,True
5933361365147,#568547,Vivo Sarit,10800.0,False
6089802416283,#594068,Vivo Nakuru,10400.0,True
6094628323483,#594893,Vivo Two Rivers,10400.0,True
6091265081499,#594266,Vivo Moi Avenue,10400.0,True
6056520089755,#588331,Vivo Village Market,9800.0,True
6070582739099,#590794,Vivo Village Market,9800.0,True
6116538876059,#598443,Vivo TRM,9800.0,True
6098345951387,#595397,Vivo Imaara,9450.0,True
6077512581275,#591788,Vivo Imaara,9250.0,True
6111211454619,#597519,Vivo Eldoret,9000.0,True
6072094326939,#590921,Vivo Hub,9000.0,True
6101699297435,#595904,Vivo Mama Ngina St,9000.0,True
6077234217115,#591642,Vivo Yaya,8950.0,True
6099916619931,#595601,Vivo Sarit,8950.0,True
6087475560603,#593657,Vivo Imaara,8950.0,True
6121998549147,#599283,Safari Sarit,8800.0,True
6065107173531,#589764,Vivo Meru,8400.0,True
6101627404443,#595868,Vivo TRM,8400.0,True
6084439867547,#593271,Vivo Signature Mall,7900.0,True
6065267245211,#589835,Vivo Nakuru,7500.0,True
6071835689115,#590830,Vivo Junction,7400.0,True
6109617848475,#597340,Vivo Moi Avenue,6900.0,True
6066754945179,#590009,Vivo Moi Avenue,6900.0,True
6111403704475,#597592,Vivo Imaara,6900.0,True
6084448190619,#593277,Vivo Mama Ngina St,6900.0,True
6082782396571,#593037,Vivo Hub,6900.0,True
6074152779931,#591251,Vivo Kisumu,6900.0,True
6093007323291,#594523,Vivo Junction,6900.0,True
6084471554203,#593291,Vivo Capital Centre,6900.0,True
6123539234971,#599424,Vivo Sarit,6900.0,True
6085821792411,#593395,Vivo TRM,6900.0,True
6101632942235,#595871,Vivo Capital Centre,6900.0,True
6094537228443,#594822,Vivo Hub,6900.0,True
6125851967643,#599851,Vivo Two Rivers,6900.0,True
6082583298203,#592934,Vivo Garden City,6900.0,True
6073540313243,#591050,Vivo Galleria,6900.0,True
6077502193819,#591781,Vivo Meru,6900.0,True
6087631339675,#593730,Vivo Nakuru,6850.0,True
6079259705499,#592172,Vivo Sarit,6800.0,True
6075983167643,#591552,Safari Sarit,6800.0,True
6079285919899,#592193,Vivo Signature Mall,6750.0,True
6056498430107,#588318,Vivo Mama Ngina St,6700.0,True
6098522865819,#595466,Vivo Imaara,6700.0,True
6077519167643,#591790,Vivo MSA Digo Road,6700.0,True
6091208753307,#594227,Vivo Nakuru,6700.0,True
6093003751579,#594521,Vivo MSA Digo Road,6501.0,True
6123448828059,#599385,Vivo Garden City,6500.0,True
6064972693659,#589687,Vivo Sarit,6500.0,True
6078878974107,#591894,Vivo Meru,6500.0,True
6075830665371,#591487,Vivo TRM,6500.0,True
6078962532507,#591914,Vivo Kisumu,6500.0,True
6073912230043,#591169,Vivo Two Rivers,6500.0,True
6082746974363,#593018,Vivo Garden City,6500.0,True
6109751804059,#597406,Vivo MSA Digo Road,6500.0,True
