Florence,Mary,Florence,Mary,Mary,Mary,Mary,Florence,Florence,Florence,Mary,,Mary,Florence,Florence,,Marion,Chantal,Marion,,,,,,Mary,Amos,,,Mary,Mary,Florence,,Mary,Mary,,Mary,Mary
Style No.,Image,Style Name,Type,Status,Category,Sub Category,Adoption Date,Florence,EDD - Sample,Target Order Week,Target Launch Week,Actual Order Date,Sample Approval Date,Sample Approval Week,CAD Transfer Date,Tech Pack/Requisition Date,Set Sample Mini Marker,Set Sample Order Date,Set Sample Receipt Date,Set Sample Approval Date,Set Sample Approval Week,Date Transferred to Buying,Actual Order Week,Planned Launch Week,Actual Launch Date,Theme,Collection Name,Fabric Type,P / S,Brand,,Fabric Name,Sample Colour,,S/S Approval,Exp Order Date
V0826050,,Vivo Basic A Line Dress Block (Woven),NEW,SAMPLE REVIEW,Dresses,Knee Length Dresses,27-Aug-2026,Florence,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V0826046,,Vivo Batwing Blouse in Crepe (ETSY),NEW,PATTERN,Tops,Relaxed Tops,25-Aug-2026,Wanjohi,,WK 40,WK 43,,,,,,,,,,,,,,,,,,Solid,Vivo  ,,Hong Yu F0321,Denim Blue,,,
V0726027,,Vivo Bias Skirt in Satin (Etsy),NEW,PATTERN,Skirts,Midi & Capri Skirts,5-Jun-2026,Mercy,,WK 40,WK 43,,,,,,,,,,,,,,,,Vivo,,,Safari by Vivo,,????,,,,
V0826004,,Vivo Bubble Gathered Midi Dress in Cotton Blend,NEW,PATTERN,Dresses,Midi & Capri Dresses,6-Aug-2026,Florence,,WK 39,WK 42,,,,,,,,,,,,,,,,,Light Polyester Cotton Blend,,Vivo,,XUEGUI Y022 Light Poly Cotton Blend,Lie Green,,,
V0726029,,Vivo Butterfly Sleeve Knee Length Dress,NEW,PATTERN,Dresses,Knee Length Dresses,21-Jul-2026,Florence,,WK 39,WK 42,,,,,,,,,,,,,,,,Vivo,,,Vivo,,YIYI N272,,,,
V0626032,,Vivo Button Up Pintuck in Satin,NEW,SAMPLING,Tops,Loose & Oversized Tops,10-Jun-2026,Victoria,WK 24,WK 38,WK 41,,,,,,,,,,,,,,,,,Medium Satin,,Vivo,,Eastleigh Medium Satin,,,,
V0426005,,Vivo Buttoned Jumpsuit In Linen,NEW,PATTERN,Bottoms,Jumpsuits & Playsuits ,13-Mar-2026,Wanjohi,,WK 41,WK 44,,,,,,,,,,,,,,,,Vivo,Light Denim,Solid,Vivo,,Linen,,,,
V0526085,,Vivo Cape Top in Stretch Rib,NEW,APPROVED FOR S/S,Outerwear,Sweaters & Ponchos,21-May-2026,Wanjohi,,WK 37,WK 40,,27-Aug-2026,WK 36,,1-Sep-2026,1-Sep-2026,1-Sep-2026,,,,,,,,,Vivo,,Solid,Vivo,,GAOHENG H1031 ,Black,,,
V0526025,,Vivo Cinch Shirt in Heavy Crepe,RR,PATTERN,Tops,Fitted Tops,10-Mar-2026,Wanjohi,WK 16,WK 40,WK 43,,,,,,,,,,,,,,,,,Medium Crepe,Solid,Vivo  ,,Yiwan 8053,,,,
V0626057,,Vivo Crossed Cuff Top in Cotton,NEW,PATTERN,Tops,Loose & Oversized Tops,23-Jun-2026,Mercy,,WK 40,WK 43,,4-Jul-2026,WK 32,10-Aug-2026,,,,,,,,,,,Casual,Vivo,,Solid,Vivo,,YIYI N272,YIYI 7294 - purple,,,
V0526041,,Vivo Dolman Sweater (Ken Knit),NEW,SAMPLE REVIEW,Outerwear,Sweaters & Ponchos,10-Mar-2026,Ken Knit,NONE,,,,12-May-2026,,,,,,,,,,,WK 25,,,Vivo,Acrylic Sweater,,Vivo  ,,Acrylic,,,,
V0826030,,Vivo Dolman Sweater in Rib,NEW,APPROVED FOR S/S,Tops,Sweaters & Ponchos,14-Aug-2026,Abigail,,,,,20-Aug-2026,WK 34,,,,,,,,,,,,,,,,,,,,,,
V0626077,,Vivo Drawstring Wide Pants in Crepe,NEW,WAITING FOR FABRIC,Bottoms,Full Length Pants,26-Jun-2026,Victoria,,WK 37,WK 40,,29-Jul-2026,WK 31,,,,,,,,,,,,,Vivo,Medium Crepe,Print,Vivo,,EQ 1441,White,,,
V0526056,,Vivo Drop Shouder Dress in Crepe (Etsy Sleeveless Wrap Dress),NEW,SAMPLE REVIEW,Dresses,Midi & Capri Dresses,22-May-2026,Wanjohi,,WK 37,WK 40,,,,,,,,,,,,,,,,Vivo,Light Crepe,print,Vivo,,,,,,
V0626012,,Vivo Drop Shoulder Jumpsuit in Denim (Etsy Everyday Luxe Jumpsuit),NEW,SAMPLE REVIEW,Bottoms,Jumpsuits & Playsuits ,,Wanjohi,,WK 38,WK 41,,,,,,,,,,,,,,,,Vivo,Medium Polyester Denim,Solid,Vivo,,Hua Yi F-005 Medium Polyester Denim,Denim Blue 5,,,
V0826044,,Vivo Drop Shoulder T-Shirt in Jersey  (ETSY),NEW,PATTERN,Tops,T-shirts & Tank Tops,25-Aug-2026,Wanjohi,,WK 40,WK 43,,,,,,,,,,,,,,,,,,Solid,Vivo  ,,Shunwang 3019,,,,
V0626060,,Vivo Drop Shoulder Tie Neck Top in Chiffon,NEW,PATTERN,Tops,Relaxed Tops,22-Jun- 2026,Mercy,,WK 41,WK 44,,,,,,,,,,,,,,,,Vivo,Light Polyester Chiffon,,Vivo  ,,Huaming Coarse Hemp,,,,
V0326041,,Vivo Dropped Waist Maxi Dress in Cotton,RR,SAMPLE REVIEW,Dresses,Maxi Dresses,10-Mar-2026,Victoria,,WK 37,WK 40,,,,,,,,,,,,,,,,Vivo,Light Cotton,Print,Vivo  ,,YIYI N272 Light Cotton Poplin,YIYI 72 Pink 94,,,
V0726023,,Vivo Dua Long Sleeve Shirt in Textured Satin (REFRESH),RR,CAD PROCESSING SS,Tops,Fitted Tops,7-Jul-2026,CAD,,WK 37,WK 40,,,,,,,,,,,,,,,,Vivo,Light Satin,Solid,Vivo,,YIWAN 8083 Light Polyester Satin,,,,
V0926002,,Vivo Essi Front Slit Maxi Top in Textured Satin,RR,SAMPLING,Tops,Loose & Oversized Tops,1-Sep-2026,,,WK 37,WK 40,,,,,,,,,,,,,,,,Essi,Light Satin,Solid,Vivo,,Yiwan 8083,Mustard,,,
V0526026,,Vivo Extra Wide Leg Pants in Denim,NEW,SAMPLE REVIEW,Bottoms,Full Length Pants,6-May-2026,Victoria,Wk 23,WK 38,WK 41,,,,,,,,,,,,,,,,Vivo,Heavy Denim,solid,Vivo,,HONG YU F8953 Light Cotton Denim,1 DENIM BLUE,,,
V0626063,,Vivo Extra Wide Pants in Crepe,NEW,SAMPLE REVIEW,Bottoms,Full Length Pants,22-Jun- 2026,Victoria,,,,,,,,,,,,,,,,,,,Vivo,,Solid,Vivo,,Yihao 68 992,Green,,,
V0526099,,Vivo Flounce Maxi Dress In Kitenge (R),NEW,CAD PROCESSING SS,Dresses,Maxi Dresses,28-May-2026,Mercy,,WK 37,WK 40,,27-Aug-2026,WK 35,,31-Aug-2026,1-Sep-2026,1-Sep-2026,,,,,,,,,Vivo,Medium Cotton Kitenge,Print,Vivo,,Kitenge,Eastleigh Kitenge,,,
V0526096,,Vivo Four Tiered Maxi Dress in Chiffon (R),NEW,PATTERN,Dresses,Maxi Dresses,28-May-2026,Victoria,,WK 40,WK 43,,,,,,,,,,,,,,,,Vivo,Light Chiffon,print,Vivo,,Chiffon,Defective chiffon,,,
