kind,template_id,product_name,proposed_number,proposed_name_or_alts
recoverable,109130,Vivo Amai Off-Shoulder Maxi Dress - Green / Navy Biya Print,V0824072,Vivo Amai Off-Shoulder Maxi Dress
recoverable,109131,Vivo Amai Off-Shoulder Maxi Dress - Hot Pink / Black Biya Print,V0824072,Vivo Amai Off-Shoulder Maxi Dress
recoverable,109133,Vivo Amai Off-Shoulder Maxi Dress - Navy / Blue Biya Print,V0824072,Vivo Amai Off-Shoulder Maxi Dress
recoverable,109134,Vivo Amai Off-Shoulder Maxi Dress - Purple / Black Biya Print,V0824072,Vivo Amai Off-Shoulder Maxi Dress
recoverable,109199,Vivo Amara Back Pleat Dress - Burgundy / Hunters Bemba Print,V1023100,Vivo Amara Back Pleat Dress
recoverable,109201,Vivo Amara Back Pleat Dress - Green,V1023100,Vivo Amara Back Pleat Dress
recoverable,109227,Vivo Amara Midi Waterfall - Tan,V0124083,Vivo Amara Midi Waterfall
recoverable,109234,Vivo Amara Sleeveless High Low Top - Hunters,V1023097,Vivo Amara Sleeveless High Low Top
recoverable,109233,Vivo Amara Sleeveless High Low Top - Safron,V1023097,Vivo Amara Sleeveless High Low Top
recoverable,109237,Vivo Amara V-Neck Maxi Dress - Safron,V1023099,Vivo Amara V-Neck Maxi Dress
recoverable,109271,Vivo Analo Wide Leg Pants - Navy,V0325069,Vivo Analo Wide Leg Pants
recoverable,109272,Vivo Analo Wide Leg Pants - Olive,V0325069,Vivo Analo Wide Leg Pants
recoverable,109294,Vivo Arafa Long Sleeve Tie Dress - Green / Orange Rafa Print,V0124045,Vivo Arafa Long Sleeve Tie Dress
recoverable,109304,Vivo Arafa Sleeveless Jacket - Dark Green,V0124038,Vivo Arafa Sleeveless Jacket
recoverable,109315,Vivo Arafa V-Neck Bodycon - Navy Blue,V1123064,Vivo Arafa V-Neck Bodycon
recoverable,109316,Vivo Arafa V-Neck Bodycon - Navy Blue / White,V1123064,Vivo Arafa V-Neck Bodycon
