Style Name,Style Number,Status,Tier
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Denim Haven High Rise Skinny Ripped Jeans,DH0001,Retired,Retired
Denim Haven High Rise Skinny Ripped Jeans,,Retired,Retired
Denim Haven High Rise Skinny Ripped Jeans,,Retired,Retired
,,,
,,,
,,,
,,,
,,,
,,,
Double O-ring Cami Dress,,Retired,Retired
Double O-ring Cami Dress,,Retired,Retired
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Vivo Everyday Cap Sleeve Top,V1120036,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,,
,,,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,Active,
,,,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
