product_name,barcode,sku,price,retired_qty
Safari Kamari Drop Shoulder Top - Tan,60035988,S0224189TAN1X/2X,1650,2
Safari Kamari Front Slit Midi Skirt - Navy,60044533,S0424080NAV1X,5550,2
Safari Kamari Halter Shirt - Navy Blue,60035214,S0224190NAB3X,1150,2
Safari Kamari Mini Skirt - White Cloud,60037215,S0224199WHCS,250,2
Safari Kamari Ribbed Top - Hunters Green,60037663,S0424073HGN1X,1100,2
Safari Kitenge Men's Sweatshirt - Grey/ Neba Print,60042986,S0824054GNBM,4250,2
Safari Kitenge Men's Sweatshirt - Teal/ Tafo Print,60042994,S0824054TTFM,4250,2
Safari Kitenge Side Frill Kaftan - Keri,60049432,S0223031PR6F,2650,2
Safari Mali Bishop Sleeve Shirt Dress - Khaki,60039162,S0223180KHA1X,3500,2
Safari Mali Bishop Sleeve Shirt Dress - Khaki,60039159,S0223180KHAS,3500,2
Safari Mansi Bishop Sleeve Shacket - Orange,60048468,S0924002ORA1X2X,6950,2
Safari Mansi Bishop Sleeve Shacket - Orange,60048467,S0924002ORAML,6950,2
Safari Mansi Mens Shorts - Black Stripes,60045632,S0924026PR1L,950,2
Safari Mansi Mens Shorts - Black Stripes,60045631,S0924026PR1M,950,2
Safari Mansi Straight Leg Pants - Black,60045729,S0924017BLA1X,4950,2
Safari Mansi Straight Leg Pants - Black,60045727,S0924017BLAM,4950,2
Safari Mansi Straight Leg Pants - Navy,60045730,S0924017NAVS,4950,2
Safari Mara Shirred Bishop Sleeve Dress - Mustard,60026330,S1022008MUSM,5500,2
Safari Mara Shirred Bishop Sleeve Dress - Mustard,60026329,S1022008MUSS,5500,2
Safari Mara Shirred Bishop Sleeve Dress - Orange,60014584,S1022008ORAL,5500,2
Safari Men's Bomber Jacket - Dark Grey,60037671,S0424035DGRY1X,4200,2
Safari Men's Cargo Pants - Dark Grey,60035967,S0424047DGRY1X,1750,2
Safari Men's Cargo Pants - Light Grey,60035970,S0424047LGRYL,2950,2
Safari Men's Chinese Collar Long Sleeve Shirt - Coral,60036660,S0424039CORL,1150,2
Safari Men's Kitenge Drawstring Shorts - Himo Print,60049947,S0424041PR8M,1800,2
Safari Men's Kitenge Drawstring Shorts - Himo Print,60049946,S0424041PR8S,1800,2
Safari Men's Kitenge Drawstring Shorts - Tana Print,60037800,S0424041PR64X,2050,2
Safari Men's Long Sleeve Shirt - Denim Blue,60035691,S0424145DMBLUS,1250,2
Safari Men's Long Sleeve Shirt - Khaki,60035697,S0424145KHAL,1250,2
Safari Men's Long Sleeve Shirt - Khaki,60035695,S0424145KHAS,1250,2
Safari Men's Long Sleeve T-shirt - Black / Elmi Print,60043341,S0824053PR2L,1200,2
Safari Men's Long Sleeve T-shirt - Navy / Tari Print,60043349,S0824053PR1L,650,2
Safari Men's Shacket - Dark Grey,60035706,S0424037DGRYL,1850,2
Safari Men's Short Sleeve Shirt - Black / Chari Print,60037887,S0424198PR63X,2950,2
Safari Men's Short Sleeve Shirt - White / Chari Print,60037909,S0424198PR13X,2950,2
Safari Naledi 3/4 Sleeve Tent Dress - Navy Puff Stripes,60055641,S0425057PR5M-NAV,6800,2
Safari Naledi 3/4 Sleeve Tent Dress - White Pinstripes Print,60055631,S0425057PR21X,4500,2
Safari Naledi 3/4 Sleeve Tent Dress - White Pinstripes Print,60055628,S0425057PR2S,4500,2
Safari Naledi 3/4 Sleeve Tent Dress - White Polka Stripes,60055634,S0425057PR3L,4550,2
Safari Nimali Bubble Sleeve Top - Red,60033327,S0124026REDL,3950,2
Safari Nimali Bubble Sleeve Top - Red,60032581,S0124026REDS,3950,2
Safari Nimali Bubble Sleeve Top - Teal,60032585,S0124026TEAM,1350,2
Safari Njano Front Drawstring Tunic Top - Hunters Green,60047472,S0724137HGRNXS/S,3450,2
Safari Njano Joggers - Green / Tafo Print,60059586,S0724143GRNTM,4800,2
Safari Njano Men's Easy Fit Kitenge Pants - Black / Brown Print,60060686,S0925045PR2M,4800,2
Safari Njano Men's Easy Fit Kitenge Pants - Black / Dark Teal Print,60060682,S0925045PR1M,4800,2
Safari Njano Men's Easy Fit Kitenge Pants - Black / Dark Teal Print,60060681,S0925045PR1S,4800,2
Safari Njano Men's Knee Length Shorts - Rust,60044520,S0824030RUSS,1150,2
Safari Njano Men's Straight Leg Pants - Obu Print,60044498,S0824029PR21X-OBU,6250,2
Safari Njano Men's Straight Leg Pants - Obu Print,60044495,S0824029PR2S-OBU,6250,2
Safari Njano Wide Leg Pants - Shama Print,60045083,S0724127PR14X,3400,2
Safari Savannah Front Slit Midi Skirt - Ashai Print,60043865,S0724014ASHL,5550,2
Safari Savannah Kitenge  Midi Wrap Dress - Sipo Print,60042868,S0824067PR31X,8950,2
Safari Savannah Kitenge Chinese Collar Shirt - Shama Print,60045664,S0724084PR2L,3200,2
