Search Name,Odoo Template ID,External Ref (default_code),Odoo Product Name,Status,Tier
Vivo Maisha Straight Leg Pants in Crepe,315986,False,Vivo Maisha Straight Leg Pants In Crepe -  White / Black Abstract Print,,
Vivo Maisha Top & Pant Set,256054,False,Vivo Maisha Top & Pant Set - Black / Grey Print,Active,
Vivo Maisha Top & Pant Set,256055,False,Vivo Maisha Top & Pant Set - Black/ Green Print,Active,
Vivo Maisha Top & Pant Set,256056,False,Vivo Maisha Top & Pant Set - Off White / Brown Print,Active,
Vivo Reversible Printed Poncho,NOT FOUND,,,,
Vivo Selah Palazzo Pants in Stretch Rib,330095,False,Vivo Selah Palazzo Pants in Stretch Rib  - Chocolate,Active,
Vivo Selah Palazzo Pants in Stretch Rib,342521,False,Vivo Selah Palazzo Pants in Stretch Rib  - FS,,
Vivo Selah Palazzo Pants in Stretch Rib,343371,False,Vivo Selah Palazzo Pants in Stretch Rib  - Taupe,Retired,Retired
Zoya Basic Jersey Bandeau,316019,False,Zoya Basic Jersey Bandeau  - White,Active,
Zoya Basic Jersey Bandeau,315767,False,Zoya Basic Jersey Bandeau  - White OLD,,
Zoya Basic Jersey Bandeau,305899,False,Zoya Basic Jersey Bandeau - Black,Active,
