Style Number,Style Name,Brand,Category,Subcategory,Status,Highest Sold Price (KES),Current Price (KES),Warehouse,Retired Location,Stores,Online,Total SOH
V0324021,Vivo X This Is Essential Scooped Neck Bralette,Vivo,Tops,Midriff & Crop Tops,Retired,1500.0,1500.0,0,24.0,0,8,32
S0424064,Safari Bush Drop Shoulder Long Sleeve Top,Safari,Tops,T-shirts & Tank Tops,Retired,2750.0,1750.0,2.0,22.0,3.0,4,31
S0925062,Safari By Vivo Mens Cotton Long Sleeve Shirt,Safari,Tops,Men's Tops,Retired,5400.0,5400.0,0,12.0,15.0,4,31
V0825015,Vivo Lena Slim Fit Pants in Pinstripe,Vivo,Bottoms,Full Length Pants,Retired,3900.0,3900.0,3.0,0,17.0,9,30
V0525071,Vivo Maisha Straight Leg Pants in Crepe,Vivo,Bottoms,Full Length Pants,Retired,5900.0,4200.0,4.0,0,15.0,11,30
V1024064,Vivo Basic Sleeveless Tent Kimono,Vivo,Outerwear,Waterfalls & Kimonos,Retired,3250.0,3250.0,0,20.0,4.0,5,29
V0224238,Vivo 2-Way Wrap Top,Vivo,Tops,Fitted Tops,Retired,3250.0,3250.0,0,23.0,0,6,29
V1024064,Vivo Basic Sleeveless Tent Kimono,Vivo,Outerwear,Waterfalls & Kimonos,Retired,3250.0,1950.0,0,22.0,3.0,4,29
V1124138,Vivo Yene Wide Leg Pants,Vivo,Bottoms,Full Length Pants,Retired,3950.0,1550.0,0,8.0,4.0,17,29
V0525043,Vivo Samira Maxi Kimono,Vivo,Outerwear,Waterfalls & Kimonos,Retired,5900.0,5900.0,4.0,11.0,3,10,29
S0925040,Safari by Vivo Naledi Bubble Midi Dress,Safari,Dresses,Midi & Capri Dresses,Retired,5800.0,5800.0,4.0,7.0,8.0,10,29
V0825033,Vivo Nuru Strappy Top,Vivo,Tops,Fitted Tops,Retired,2900.0,2250.0,22.0,0,0,6,28
VE0032P,Vivo Kitenge Wide Leg Pants,Vivo,Bottoms,Full Length Pants,Retired,4550.0,4500.0,0,17.0,0,11,28
V0523033,Vivo Maisha Drop Shoulder Maxi Dress In Rayon,Vivo,Dresses,Maxi Dresses,Retired,5900.0,5900.0,6.0,0,16.0,5,27
S0224190,Safari Kamari Halter Shirt,Safari,Tops,Fitted Tops,Retired,3750.0,1150.0,2.0,5.0,7.0,13,27
V0325072,Vivo Chiffon Shorts,Vivo,Bottoms,Shorts & Skorts,Retired,3550.0,3550.0,2.0,14.0,2.0,9,27
V0224241,Vivo Full Length Kimono,Vivo,Outerwear,Waterfalls & Kimonos,Retired,5900.0,5900.0,2.0,14.0,1.0,10,27
