Odoo ID,Odoo Link,Product Name,Style Name,Style Number,Status,Fabric Barcode,Fabric Plain/Print,Fabric Source Country,Fabric Source City,Fabric Structure,Fabric Category,Fabric Sub-Category,Fabric Primary Color,Fabric Width (m),Fabric GSM,Supplier Fabric Code,Supplier Fabric Colour Code
246984,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=246984,Vivo Everyday Short Waterfall in Jersey - Dark Maroon,Vivo Everyday Short Waterfall in Jersey,V0719674,Active,Generic Barcode,Plain,,,,,,,,,,
343516,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=343516,Vivo Everyday Short Waterfall in Jersey - Dark Red,Vivo Everyday Short Waterfall in Jersey,V0719674,Active,Generic Barcode,Plain,,,,,,,,,,
343515,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=343515,Vivo Everyday Short Waterfall in Jersey - Dark Tan,Vivo Everyday Short Waterfall in Jersey,V0719674,Active,Generic Barcode,Plain,,,,,,,,,,
343829,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=343829,Vivo Everyday Short Waterfall in Jersey - Fuschia,Vivo Everyday Short Waterfall in Jersey,V0719674,Active,[302956] FASHION KNITTED 1629 - Fuschia,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,Unknown,1.8,260,FASHION KNITTED 1629,
239323,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=239323,Vivo Everyday Short Waterfall in Jersey - Mustard,Vivo Everyday Short Waterfall in Jersey,V0719674,Active,[302625] YAJUN HS8912 - Dark Mustard,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,Yellow,1.75,260,YAJUN HS8912,
239324,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=239324,Vivo Everyday Short Waterfall in Jersey - Navy Blue,Vivo Everyday Short Waterfall in Jersey,V0719674,Active,[302626] YAJUN HS8912 - Navy Blue,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,Blue,1.75,260,YAJUN HS8912,
272437,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=272437,Vivo Everyday Short Waterfall in Jersey - Navy Blue.,Vivo Everyday Short Waterfall in Jersey,V0719674,Active,Generic Barcode,Plain,,,,,,,,,,
334164,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=334164,Vivo Everyday Short Waterfall in Jersey - Olive,Vivo Everyday Short Waterfall in Jersey,V0719674,Active,[302964] FASHION KNITTED 1629 - Olive Green,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,Green,1.8,260,FASHION KNITTED 1629,
239327,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=239327,Vivo Everyday Short Waterfall in Jersey - Orange,Vivo Everyday Short Waterfall in Jersey,V0719674,Active,Generic Barcode,Plain,,,,,,,,,,
334165,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=334165,Vivo Everyday Short Waterfall in Jersey - Rust,Vivo Everyday Short Waterfall in Jersey,V0719674,Active,[302964] FASHION KNITTED 1629 - Olive Green,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,Green,1.8,260,FASHION KNITTED 1629,
239336,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=239336,Vivo Everyday Short Waterfall in Jersey - Tan,Vivo Everyday Short Waterfall in Jersey,V0719674,Archived,Generic Barcode,Plain,,,,,,,,,,
239337,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=239337,Vivo Everyday Short Waterfall in Jersey - Taupe,Vivo Everyday Short Waterfall in Jersey,V0719674,Active,[302958] FASHION KNITTED 1629 - Rust,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,Orange,1.8,260,FASHION KNITTED 1629,
305934,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=305934,Vivo Everyday Short Waterfall in Jersey - White,Vivo Everyday Short Waterfall in Jersey,V0719674,Active,[302953] FASHION KNITTED 1629 - White,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,White,1.8,260,FASHION KNITTED 1629,
239339,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=239339,Vivo Everyday Short Waterfall in Jersey - Yellow,Vivo Everyday Short Waterfall in Jersey,V0719674,Active,Generic Barcode,Plain,,,,,,,,,,
342472,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=342472,Vivo Everyday Side Twist Bodycon in Jersey  - FS,Vivo Everyday Side Twist Bodycon in Jersey,Sample & Sale Items,Sample,,,,,,,,,,,,
