id,name,active,default_code,barcode,categ_id,product_variant_count,x_vivo_attr_18,x_style_number_text,x_studio_style_name_gi,x_vivo_attr_16,x_style_name_text,x_vivo_attr_97,x_vivo_attr_99,x_colour_way_sku_text,x_vivo_attr_112,x_studio_fabric_ref,x_studio_brand,x_vivo_attr_22,x_studio_categories,x_vivo_categories,x_studio_fab_100,x_vivo_attr_100,x_studio_fab_101,x_vivo_attr_101,x_studio_fab_102,x_vivo_attr_102,x_studio_fab_103,x_vivo_attr_103,x_studio_fab_124,x_vivo_attr_124,x_studio_fab_125,x_vivo_attr_125,x_studio_fab_25,x_vivo_attr_25,x_studio_fab_38,x_vivo_attr_38,x_studio_fab_43,x_vivo_attr_43,x_studio_fab_48,x_vivo_attr_48,x_vivo_duplicate_key,x_vivo_duplicate_cleanup_state
342203,Safari Kikoy Wrap Dress - Gold,True,,,17||01. Finished Goods Inventory,8,21755||S0923093,S0923093,14455||Safari Kikoy Wrap Dress,14455||Safari Kikoy Wrap Dress,Safari Kikoy Wrap Dress,59959||Retired,61038||Retired,,,,,24992||Safari by Vivo,,7831||Dresses,,,,,,,,,,,,,,,,,,,,,,
304732,Safari Kikoy Wrap Dress - Parrot,True,S0923093PAR4X,60034422,17||01. Finished Goods Inventory,1,21755||S0923093,S0923093,14455||Safari Kikoy Wrap Dress,14455||Safari Kikoy Wrap Dress,Safari Kikoy Wrap Dress,59959||Retired,61038||Retired,S0923093PAR,62466||S0923093PAR,,,24992||Safari by Vivo,,7831||Dresses,,,,,,,,,,,,,,,,,,,,,,
88292,Safari Kikoy Wrap Dress - Red,True,,,17||01. Finished Goods Inventory,2,21755||S0923093,S0923093,14455||Safari Kikoy Wrap Dress,14455||Safari Kikoy Wrap Dress,Safari Kikoy Wrap Dress,59959||Retired,61038||Retired,,,,64||Safari,24992||Safari by Vivo,122||Dresses,7831||Dresses,,,,,,,,,,,,,,,,,,,,,,
304733,Safari Kikoy Wrap Dress - Red Blue,True,,,17||01. Finished Goods Inventory,2,21755||S0923093,S0923093,14455||Safari Kikoy Wrap Dress,14455||Safari Kikoy Wrap Dress,Safari Kikoy Wrap Dress,59959||Retired,61038||Retired,,,,,24992||Safari by Vivo,,7831||Dresses,,,,,,,,,,,,,,,,,,,,,,
304734,Safari Kikoy Wrap Kimono - Black,True,S1023048BLAF,60026853,17||01. Finished Goods Inventory,1,21758||S0923061,S0923061,14458||Safari Kikoy Wrap Kimono,14458||Safari Kikoy Wrap Kimono,Safari Kikoy Wrap Kimono,59959||Retired,61038||Retired,S1023048BLA,62467||S1023048BLA,,,24992||Safari by Vivo,,7836||Outerwear,,,,,,,,,,,,,,,,,,,,,,
88298,Safari Kitenge 3/4 sleeve Maxi Dress - Neba Print,True,,,17||01. Finished Goods Inventory,,21759||S0223033,S0223033,14459||Safari Kitenge 3/4 sleeve Maxi Dress,14459||Safari Kitenge 3/4 sleeve Maxi Dress,Safari Kitenge 3/4 sleeve Maxi Dress,59959||Retired,61038||Retired,,,,64||Safari,24992||Safari by Vivo,122||Dresses,,,,,,,,,,,,,,,,,,,,,,,
304735,Safari Kitenge 3/4 sleeve Maxi Dress - Sipo Print,True,S0223033PR104X,60043101,17||01. Finished Goods Inventory,1,21759||S0223033,S0223033,14459||Safari Kitenge 3/4 sleeve Maxi Dress,14459||Safari Kitenge 3/4 sleeve Maxi Dress,Safari Kitenge 3/4 sleeve Maxi Dress,59959||Retired,61038||Retired,S0223033PR10,62468||S0223033PR10,,,24992||Safari by Vivo,,7831||Dresses,,,,,,,,,,,,,,,,,,,,,,
88300,Safari Kitenge Men's Sweat Pants - Grey/ Neba Print,True,,,17||01. Finished Goods Inventory,8,21760||S0824055,S0824055,14460||Safari Kitenge Men's Sweat Pants,14460||Safari Kitenge Men's Sweat Pants,Safari Kitenge Men's Sweat Pants,59959||Retired,61038||Retired,,,,64||Safari,24992||Safari by Vivo,124||Mens,7833||Mens,,60023||Print,,60024||Knit,,61326||Poly Cotton Fleece,,61341||Heavy Poly Cotton Fleece,,,,,,,,,,,,,,
88301,Safari Kitenge Men's Sweat Pants - Teal/ Tafo Print,True,,,17||01. Finished Goods Inventory,8,21760||S0824055,S0824055,14460||Safari Kitenge Men's Sweat Pants,14460||Safari Kitenge Men's Sweat Pants,Safari Kitenge Men's Sweat Pants,59959||Retired,61038||Retired,,,,64||Safari,24992||Safari by Vivo,124||Mens,7833||Mens,,60023||Print,,60024||Knit,,61326||Poly Cotton Fleece,,61341||Heavy Poly Cotton Fleece,,,,,,,,,,,,,,
88303,Safari Kitenge Men's Sweatshirt - Grey/ Neba Print,True,,,17||01. Finished Goods Inventory,7,21761||S0824054,S0824054,14461||Safari Kitenge Men's Sweatshirt,14461||Safari Kitenge Men's Sweatshirt,Safari Kitenge Men's Sweatshirt,59959||Retired,61038||Retired,,,,64||Safari,24992||Safari by Vivo,124||Mens,7833||Mens,,60023||Print,,60024||Knit,,61326||Poly Cotton Fleece,,61341||Heavy Poly Cotton Fleece,,,,,,,,,,,,,,
