barcode,sku,product_name,style_name,style_number,product_type,category,price,warehouse_available,online_available,suggested_online_alloc,flag
,V1020056NABM,Vivo Waridi Sleeveless Overcoat - Navy Blue - NAVY BLUE / V1020056 / M,Vivo Waridi Sleeveless Overcoat,V1020056,Jackets & Coats,Outerwear,0.0,2.0,1,0,""
60066322,S0326006BLA1X,Safari by Vivo Pintuck Shirt in Cotton - Black,Safari by Vivo Pintuck Shirt in Cotton,S0326006,Fitted Tops,Tops,4800.0,2.0,2,0,""
,S0425041PR1L,Shiv & Shikie X Safari Printed Short Sleeve Shirt - Brown / Black Ezi Print - PRINT / S0425041 / L,Shiv & Shikie X Safari Printed Short Sleeve Shirt,S0425041,Loose Tops,Tops,0.0,2.0,1,0,""
60066319,S0326006BLAS,Safari by Vivo Pintuck Shirt in Cotton - Black,Safari by Vivo Pintuck Shirt in Cotton,S0326006,Fitted Tops,Tops,4800.0,2.0,2,0,""
60059738,S0825039RUSL,Safari Solana Bubble Midi Skirt - Rust,Safari Solana Bubble Midi Skirt in Cotton,S0825039,Midi & Capri Skirts,Skirts,5800.0,2.0,1,0,""
60019748,S0623047TAUM,Safari Basic Shirt Tent Dress - Taupe,Safari Basic Shirt Tent Dress,S0623047,Knee Length Dresses,Dresses,5250.0,2.0,1,0,""
60066166,V0326002OLIS,Vivo V-Neck Camisole in Satin- Olive,Vivo V-Neck Camisole in Satin- Black,V0326002,Fitted Tops,Tops,2500.0,2.0,1,0,""
60066312,S0326006CHOM,Safari by Vivo Pintuck Shirt in Cotton - Chocolate,Safari by Vivo Pintuck Shirt in Cotton,S0326006,Fitted Tops,Tops,4800.0,2.0,3,0,""
60068121,V0526014MULS/M,Vivo Tanda V-Neck Top in Stretch Rib - Mulberry,Vivo Tanda V-Neck Top in Stretch Rib,V0526014,Loose Tops,Tops,3500.0,2.0,2,0,""
60065516,V0719112DTAUS,Vivo Basic Long Sleeved Bodysuit in Jersey - Dark Taupe,Vivo Basic Long Sleeve Bodysuit (Seamless),V0823134,Bodysuits,Tops,2900.0,2.0,1,0,""
60068123,V0526014OFWS/M,Vivo Tanda V-Neck Top in Stretch Rib - Off White,Vivo Tanda V-Neck Top in Stretch Rib,V0526014,Loose Tops,Tops,3500.0,2.0,4,0,""
60065517,V0719112DTAUM,Vivo Basic Long Sleeved Bodysuit in Jersey - Dark Taupe,Vivo Basic Long Sleeve Bodysuit (Seamless),V0823134,Bodysuits,Tops,2900.0,2.0,1,0,""
