Order Ref,Order ID,Gross Total,Discount,Returns,Net Total (net of discount+returns)
Junction/1267,22050,4500,0,0,4500
Junction/1268,22060,27500,0,0,27500
Junction/1269,22077,3500,0,0,3500
Junction/1270,22113,5550,0,0,5550
Junction/1271,22128,21300,0,0,21300
Junction/1272,22129,32900,0,0,32900
Junction/1273,22138,19700,0,0,19700
Junction/1274,22146,8400,0,0,8400
Junction/1275,22156,11100,0,0,11100
Junction/1276,22170,10850,0,0,10850
Junction/1277,22173,7000,0,0,7000
Junction/1278,22202,18800,0,0,18800
Junction/1279,22208,8400,0,0,8400
Junction/1280,22209,5000,0,0,5000
Junction/1281,22211,5500,0,0,5500
Junction/1282,22215,14100,0,0,14100
Junction/1283,22219,3900,0,0,3900
Junction/1284,22223,5000,0,0,5000
Junction/1285,22230,8400,0,0,8400
Junction/1286,22237,4950,0,0,4950
Junction/1287,22238,10000,0,0,10000
Junction/1288,22264,16450,0,0,16450
Junction/1289,22265,8000,0,0,8000
Junction/1290,22273,3800,0,0,3800
Junction/1291,22279,5550,0,0,5550
Junction/1292,22325,5550,0,0,5550
Junction/1293,22332,5550,0,0,5550
Junction/1294,22336,10900,0,0,10900
Junction/1295,22341,54700,0,0,54700
Junction/1296,22347,23800,0,0,23800
Junction/1297,22349,5000,0,0,5000
Junction/1298,22366,5550,0,0,5550
Junction/1299,22381,9000,0,0,9000
Junction/1300,22387,34000,0,0,34000
Junction/1301,22388,14500,0,0,14500
Junction/1302,22394,6900,0,0,6900
Junction/1303,22404,25400,0,0,25400
Junction/1304,22406,2500,0,0,2500
Junction/1305,22408,13800,0,0,13800
Junction/1306,22411,18900,0,0,18900
Junction/1307,22423,4900,0,0,4900
Junction/1308,22425,11200,0,0,11200
Junction/1308 REFUND,22478,11200,0,11200,0
Junction/1309,22427,6000,0,0,6000
Junction/1310,22443,10000,0,0,10000
Junction/1311,22451,53700,0,0,53700
Junction/1312,22467,5900,0,0,5900
Junction/1313,22486,6900,0,0,6900
Junction/1314,22489,1500,0,0,1500
Junction/1315,22490,30000,0,0,30000
Junction/1316,22497,3200,0,0,3200
Junction/1317,22507,4800,0,0,4800
Junction/1318,22517,5900,0,0,5900
Junction/1319,22570,13300,0,0,13300
Junction/1320,22571,36700,0,0,36700
Junction/1321,22572,10100,0,0,10100
Junction/1322,22616,24100,0,0,24100
Junction/1323,22642,46400,0,0,46400
Junction/1324,22667,5500,0,0,5500
Junction/1325,22677,14400,0,0,14400
Junction/1325 REFUND,24423,0,0,6400,-6400
Junction/1326,22683,9800,0,0,9800
Junction/1327,22694,12600,0,0,12600
Junction/1328,22699,5500,0,0,5500
Junction/1329,22729,5500,0,0,5500
Junction/1330,22753,13600,0,0,13600
Junction/1331,22768,2500,0,0,2500
Junction/1332,22791,11500,0,0,11500
Junction/1333,22802,5300,0,0,5300
Junction/1334,22804,17300,0,0,17300
Junction/1335,22837,15300,0,0,15300
Junction/1336,22856,3900,0,0,3900
Junction/1337,22858,4900,0,0,4900
Junction/1338,22861,8000,0,0,8000
Junction/1339,22865,5550,0,0,5550
Junction/1340,22877,7900,0,0,7900
Junction/1341,22918,13200,0,0,13200
Junction/1342,22931,11400,0,0,11400
Junction/1343,22968,5900,0,0,5900
Junction/1344,22969,21000,0,0,21000
Junction/1345,22990,2900,0,0,2900
Junction/1346,23001,5500,0,0,5500
Junction/1347,23002,10450,0,0,10450
Junction/1348,23024,6900,0,0,6900
Junction/1349,23031,1500,0,0,1500
Junction/1350,23056,23600,0,0,23600
Junction/1350 REFUND,23615,0,0,3500,-3500
Junction/1351,23058,4900,0,0,4900
Junction/1352,23061,5900,0,0,5900
Junction/1353,23068,17850,0,0,17850
Junction/1354,23091,8850,0,0,8850
Junction/1355,23103,11100,0,0,11100
Junction/1356,23124,12400,0,0,12400
Junction/1357,23147,5550,0,0,5550
Junction/1358,23170,8000,0,0,8000
Junction/1359,23186,5500,0,0,5500
Junction/1360,23197,11050,0,0,11050
Junction/1361,23198,5550,0,0,5550
Junction/1362,23215,1500,0,0,1500
Junction/1363,23216,5500,0,0,5500
Junction/1364,23222,9450,0,0,9450
Junction/1365,23224,7100,0,0,7100
Junction/1366,23225,3900,0,0,3900
Junction/1367,23233,17900,0,0,17900
Junction/1368,23238,4950,0,0,4950
Junction/1369,23254,16800,0,0,16800
Junction/1370,23270,5500,0,0,5500
Junction/1371,23280,5500,0,0,5500
Junction/1372,23290,15700,0,0,15700
Junction/1373,23298,6900,0,0,6900
Junction/1374,23315,4900,0,0,4900
Junction/1375,23398,25500,0,0,25500
Junction/1376,23403,4950,0,0,4950
Junction/1377,23407,22400,0,0,22400
Junction/1378,23413,6700,0,0,6700
Junction/1379,23414,4500,0,0,4500
Junction/1380,23426,4900,0,0,4900
Junction/1381,23436,10600,0,0,10600
Junction/1382,23453,6800,0,0,6800
Junction/1383,23467,5900,0,0,5900
Junction/1384,23472,1500,0,0,1500
Junction/1385,23523,10300,0,0,10300
Junction/1386,23531,6500,0,0,6500
Junction/1388,23535,5800,0,0,5800
Junction/1389,23537,10300,0,0,10300
Junction/1390,23551,5500,0,0,5500
Junction/1391,23552,5550,0,0,5550
Junction/1392,23563,9000,0,0,9000
Junction/1393,23572,10400,0,0,10400
Junction/1394,23576,29400,0,0,29400
Junction/1395,23578,1200,0,0,1200
Junction/1396,23593,17200,0,0,17200
Junction/1397,23607,4200,0,0,4200
Junction/1398,23609,11650,0,0,11650
Junction/1399,23612,10200,0,0,10200
Junction/1400,23617,5500,0,0,5500
Junction/1401,23650,8400,0,0,8400
Junction/1402,23658,21000,0,0,21000
Junction/1403,23667,10900,0,0,10900
Junction/1405,23673,8600,0,0,8600
Junction/1406,23676,4700,0,0,4700
Junction/1407,23744,2500,0,0,2500
Junction/1408,23783,7500,0,0,7500
Junction/1409,23800,2500,0,0,2500
Junction/1410,23803,10400,0,0,10400
Junction/1411,23809,13300,0,0,13300
