brand,missing,product_name
"Vivo","both","Vivo Bodysuits, Shirts, T- Shirts & Tank Tops  - FS 2"
"Vivo","both","Vivo Bralette - PB2"
"Vivo","both","Vivo Button Up Shirt in Chiffon  - FS"
"Vivo","both","Vivo Cap Sleeve Salma Maxi Dress  - FS"
"Vivo","both","Vivo Capri/Midi Length Dress - SAMPLE 1"
"Vivo","both","Vivo Capri/Midi Length Dress - SAMPLE 2"
"Vivo","both","Vivo Chela Jersey Pallazo Pants  - FS"
"Vivo","both","Vivo Chela Pants in Jersey  - FS"
"Vivo","both","Vivo Chidii Drop Shoulder Kimono  - FS"
"Vivo","both","Vivo Chidii Maxi Kaftan  - FS"
"Vivo","both","Vivo Chidii Tunic Dress With Frills  - FS"
"Vivo","both","Vivo Chidii Tunic Dress With Frills in Satin  - FS"
"Vivo","both","Vivo Chidii Wide Leg Pants  - FS"
"Vivo","both","Vivo Contrast Stitch Pants in Denim  - FS"
"Vivo","both","Vivo Cotton 3/4 Sleeve Wrap Top  - FS"
"Vivo","both","Vivo Cowl Neck Camisole in Satin  - FS"
"Vivo","both","Vivo Dalia Cap Sleeve Gathered Dress  - FS"
"Vivo","both","Vivo Dalia Cap Sleeve Gathered Dress  - FS"
"Vivo","both","Vivo Dalia Cap Sleeve Gathered Dress in Crepe  - FS"
"Vivo","both","Vivo Dalia Sleeveless Gathered Tent Dress  - FS"
"Vivo","both","Vivo Denim Straight Pants  - FS"
"Vivo","both","Vivo Drop Shoulder Top in Cotton  - FS"
"Vivo","both","Vivo Dua 3/4 Sleeved V Neck Shirt  - FS"
"Vivo","both","Vivo Dua 3/4 Sleeved V Neck Shirt  - FS"
"Vivo","both","Vivo Dua 3/4 Sleeved V Neck Shirt in Crepe  - FS"
"Vivo","both","Vivo Dua Shirt In Satin  - FS"
"Vivo","both","Vivo Dua Shirt in Textured Satin   - FS"
"Vivo","both","Vivo Dua Wide Leg Pants in Ponte  - FS"
"Vivo","both","Vivo Essi Front Slit Maxi Top  - FS"
"Vivo","both","Vivo Essi Front Slit Maxi Top In Satin  - FS"
"Vivo","both","Vivo Essi Scalloped Maxi Top in Satin  - FS"
"Vivo","both","Vivo Essi Scalloped Top  - FS"
"Vivo","both","Vivo Essi Wide Leg Pants - FS"
"Vivo","both","Vivo Essi Wide Leg Pants In Satin  - FS"
"Vivo","both","Vivo Everyday 3/4 Sleeve Double Layered Bodycon Dress  - FS"
"Vivo","both","Vivo Everyday Cap Sleeve Top in Jersey  - FS"
"Vivo","both","Vivo Everyday Long Sleeve Top In Jersey  - FS"
"Vivo","both","Vivo Everyday Short Waterfall  - FS"
"Vivo","both","Vivo Everyday Short Waterfall in Jersey  - FS"
"Vivo","both","Vivo Everyday Side Twist Bodycon in Jersey  - FS"
"Vivo","both","Vivo Everyday Sleeveless Jersey Waterfall  - FS"
"Vivo","both","Vivo Fara Off Shoulder Flounce Sleeve Jumpsuit  - FS"
"Vivo","both","Vivo Fitness Sleeveless High Low Top - Black / White Print"
"Vivo","both","Vivo Flirty Tent Dress  - FS"
"Vivo","both","Vivo Full Length Pants - FS 6"
"Vivo","both","Vivo Full Length Pants - Sample 5"
"Vivo","both","Vivo Godet Maxi Dress in Satin  - FS"
"Vivo","both","Vivo Godet Midi Dress in Crepe  - FS"
"Vivo","both","Vivo Hadiya 3/4 Sleeve Maxi Dress in Chiffon  - FS"
"Vivo","both","Vivo Hanabi Drop Shoulder Dress  - FS"
"Vivo","both","Vivo Hanabi Layered Shift Dress  - FS"
"Vivo","both","Vivo Hanabi Satin High Low Top  - FS"
"Vivo","both","Vivo Hanabi Tent Maxi Dress  - FS"
"Vivo","both","Vivo High Low Top In Crepe  - FS"
"Vivo","both","Vivo High Low Top in Cotton  - FS"
"Vivo","both","Vivo Hoodie/ Sweatshirt - Sample 2"
"Vivo","both","Vivo Imara 3/4 Sleeve Tent Dress In Ponte  - FS"
"Vivo","both","Vivo Isabi Loose Top  - FS"
"Vivo","both","Vivo Isabi Loose Top In Chiffon  - FS"
"Vivo","both","Vivo Iyana Cape Top  - FS"
