style_number,distinct_names
V0121168,Vivo Basic Cap Sleeve Knee Length Dress | Vivo Basic Cap Sleeve Knee Length Tent Dress | Vivo Basic Cap Sleeve Tent Knee Length Dress | Vivo Basic Cap Sleeve Tent Knee Length Dress in Crepe
V0123105,Vivo Imara 3/4 Sleeve Tent Dress | Vivo Imara 3/4 Sleeve Tent Dress In Ponte
V0125005,Vivo Yene One Shoulder Kaftan | Vivo Yene One Soulder Kaftan
V0125017,Vivo Seli V-Neck Knee Length Dress | Vivo Seli V-Neck Length Dress
V0125039,Vivo Isabi Loose Top | Vivo Isabi Loose Top  in Chiffon | Vivo Isabi Loose Top in Chiffon
V0125045,Vivo Isabi Open Kaftan | Vivo Isabi Sleeveless Kimono
V0125069,Vivo Niari Sleeveless Top | Vivo Niari Sleeveless Top In Chiffon
V0126029,Vivo Maisha Strappy Cover Up Jumpsuit In Rayon | Vivo Maisha Strappy Jumpsuit In Rayon
V0220053,Vivo Basic May Jersey Waterfall | Vivo Pana Short Waterfall
V0220059,Vivo Basic Leisure Pants | Vivo Basic Leisure Pants in Ponte
V0223139,Vivo Basic Izzy Satin Bishop Sleeve Top | Vivo Izzy Satin Bishop Sleeve Top
V0223225,Vivo Basic Open Kaftan | Vivo Scalloped Kimono in Crepe
V0224172,Vivo Kelemi Maxi Kaftan Dress | Vivo Kelemi Maxi Kaftan Dress MG
V0224233,Vivo Reba Hi Low  Dress | Vivo Reba Hi Low Dress
V0224250,Vivo Reversible Poncho Without Fringes | Vivo Reversible Poncho without Fringes
V0225026,Vivo Chela Tank Top | Vivo Chela Tank Top in Stretch Rib
V0324039,Vivo Amai Maxi Kaftan | Vivo Amai Maxi Kaftan Dress
V0421003,Vivo Muna Cap Sleeve Knee Length Dress | Vivo Muna Cap Sleeved Knee Length Dress
V0422075,Vivo Basic Chiffon Drop Shoulder Top | Vivo Basic Chiffon Dropped Shoulder Top
V0423006,Vivo Bana Batwing Top | Vivo Bana Batwing Top in Jersey
V0423023,Vivo Tatili Bishop Long Sleeve Top | Vivo Tatili Bishop Long Sleeve Top In Satin | Vivo Tatili Bishop Sleeve Top | Vivo Tatili Long Sleeve Bishop Top | Vivo Tatili Satin Bishop Long Sleeve Top
V0423078,Vivo Basic Leila Short Waterfall | Vivo Leila Short Waterfall
V0425011,Vivo Takali Tunic Top | Vivo Takali Tunic Top In Satin
V0425012,Vivo Takali Asymmetrical Midi Length Kaftan | Vivo Takali Asymmetrical Midi Length Kaftan In Satin
V0425034,Vivo Sierra Maxi Chiffon Dress | Vivo Sierra Maxi Dress in Chiffon
V0523033,Vivo Maisha Drop Shoulder Maxi Dress | Vivo Maisha Drop Shoulder Maxi Dress In Rayon
V0523165,Vivo Laika 3/4 Sleeve Tent Dress | Vivo Laika 3/4 Sleeve Tent Dress In Crepe
V0523168,Vivo Laika Bishop Sleeve Shift Dress | Vivo Laika Bishop Sleeve Shift Dress in Crepe
V0524179,Vivo Basic Bishop Sleeve Top In Chiffon (Double Layered) | Vivo Basic Chiffon Bishop Sleeve Top (Double Layered)
V0524192,Vivo Basic Short Sleeve Top | Vivo Basic Short Sleeve Top in Jersey
V0525008,Vivo Keza Circular Loose Top | Vivo Keza Circular Loose Top in Satin
V0525015,Vivo Samira Pants | Vivo Samira Pants in Rayon
V0525028,Vivo Keza V Neck Maxi Kaftan | Vivo Keza V Neck Maxi Kaftan In Satin | Vivo Keza V-Neck Maxi Kaftan
V0525029,Vivo Samira Wide Kimono | Vivo Samira Wide Kimono in Rayon
V0525036,Vivo Zawadi Shift Dress | Vivo Zawadi Shift Dress in Chiffon
V0525048,Vivo Samira Midi Dress | Vivo Samira Midi Dress in Textured Satin
V0525071,Vivo Maisha Straight Leg Pants | Vivo Maisha Straight Leg Pants In Crepe | Vivo Maisha Straight Leg Pants in Crepe
V0525075,Vivo Basic Round Neck Maxi Dress | Vivo Basic Round Neck Maxi Dress In Crepe
V0620049,Vivo Basic Leila Maxi Waterfall | Vivo Basic Leila Maxi Waterfall In Jersey | Vivo Leila Maxi Waterfall
V0623011,Vivo Zahari 3/4 Sleeve Off Shoulder Jumpsuit | Vivo Zahari 3/4 Sleeve Off Shoulder Jumpsuit In Crepe | Vivo Zahari 3/4 Sleeve Off-Shoulder Jumpsuit
V0624004,Vivo Nasinka A-Line Knee Length Dress in Crepe | Vivo Nasinka A-line Knee Length Dress
V0624053,Vivo Hamle Front Twist Body Suit | Vivo Hamle Front Twist Bodysuit
V0625013,Vivo Selah Maxi Dress | Vivo Selah Sleeveless Maxi Dress in Stretch Rib
V0625028,Vivo Diella 3/4 Sleeve Pleated Dress | Vivo Diella 3/4 Sleeve Pleated Dress SD
V0625048,Vivo Iyana Knee Length Bubble Dress | Vivo Iyana Knee Length Bubble Dress in Satin
V0625049,Vivo Iyana Cape Top | Vivo Iyana Cape Top in Chiffon
V0625050,Vivo Iyana Shirred Waist Jumpsuit | Vivo Iyana Shirred Waist Jumpsuit in Crepe
V0719674,Vivo Basic Short Waterfall | Vivo Everyday Short Waterfall in Jersey | Vivo Eveyday Short Waterfall
V0723033,Vivo Basic Long Sleeve Cascade Waterfall | Vivo Pana Cascade Waterfall
V0723043,Vivo Basic Val Long Sleeve Top | Vivo Everyday Long Sleeve Top In Jersey
V0723045,Vivo Sawari Crossed Cuff Batwing Top | Vivo Sawari Crossed Cuff Batwing Top in Satin
V0724026,Vivo Amai Hi-Low Top | Vivo Amai Hi-Low Top in Satin
V0724080,Vivo Basic Tank Top | Vivo Basic Tank Top in Jersey
V0724107,Vivo Paji Boat Neck Sheath Dress | Vivo Paji Round Neck Sheath Dress
V0725001,Vivo Kani Bishop Sleeve Top | Vivo Kani Bishop Sleeve Top in Crepe
V0725002,Vivo Kani Wide Leg Pants | Vivo Kani Wide Leg Pants in Crepe
V0725016,Vivo Essi Front Slit Maxi Top | Vivo Essi Front Slit Maxi Top In Satin
V0725018,Vivo Essi Scalloped Maxi Top in Satin | Vivo Essi Scalloped Top
V0725022,Vivo Essi Wide Leg Pants | Vivo Essi Wide Leg Pants In Satin
V0725046,Vivo Alma Mini Skirt | Vivo Alma Skirt & Top Set
V0819031,Vivo Basic Double Layered Capri Skirt | Vivo Basic Lined Capri Skirt
V0819098,Vivo Basic Kena Tent Knee Length Dress | Vivo Basic Kena Tent Knee Length Dress in Ponte
V0821064,Vivo Basic Cap Sleeve Top In Crepe | Vivo Basic Crepe Cap Sleeve Top | Vivo Basic Crepe Cap Sleeved Top
V0822022,Vivo Basic Sleeveless Tent Dress | Vivo Basic Sleeveless Tent Dress in Crepe
V0822061,Vivo Zola V Neck Maxi Dress in Crepe | Vivo Zola V-Neck Maxi Dress in Crepe
V0822077,Vivo Tana Puff Sleeve Bodysuit | Vivo Tana Puff Sleeve Bodysuit In Jersey
V0823154,Vivo X This Is Essential  Sleeveless High Neck Bodysuit | Vivo X This Is Essential Sleeveless High Neck Bodysuit
V0823158,Vivo X This Is Essential  Sleeveless Scooped Neck Bodysuit | Vivo X This Is Essential Sleeveless Scooped Neck Bodysuit
V0825032,Vivo Kemi Maxi Skirt | Vivo Kemi Skirt & Top Set
V0825036,Vivo Nuru Sleeveless Maxi Kimono | Vivo Nuru Sleeveless Maxi Kimono in Crepe
V0825038,Vivo Nuru Side Panel Wide Leg Pants | Vivo Nuru Side Panel Wide Leg Pants in Crepe
V0920021,Vivo Basic Tolani Jersey Dress | Vivo Tolani Dress
V0921142,Vivo Alek Shirred Off | Vivo Alek Shirred Off- Shoulder Jumpsuit
V0923060,Vivo X This Is Essential  Short Sleeve Bodysuit | Vivo X This Is Essential Short Sleeve Bodysuit
V0924035,Vivo Zena Shirred Waist Maxi Shirt Dress | Vivo Zena Shirred Waist Maxi Shirt Dress in Crepe
V0924096,Vivo Serwa Tent Dress | Vivo Serwa Tent Dress In Crepe
V0925015,Vivo Izzy Bishop Sleeve Shift Dress | Vivo Naya Bishop Sleeve Shift Dress
V0925019,Vivo Sierra Long Sleeve Top (Double Layered) | Vivo Sierra Long Sleeve Top in Chiffon (Double Layered) | Vivo Sierra Long Sleeve Top(Double Layered)
V1019069,Vivo Basic Escape A-Line Dress | Vivo Basic Escape A-line Dress
V1019114,Vivo Basic Nandi High Slit Kimono | Vivo Nandi High Slit Kimono
V1020048,Vivo Basic 3/4 Sleeved Double Layered Bodysuit | Vivo Basic 3/4 Sleeved Double Layered Bodysuit in Jersey
V1020057,Vivo Basic Waridi Pencil Skirt | Vivo Waridi Pencil Skirt
V1021138,Vivo Lani Maxi Dress | Vivo Lani Maxi Dress In Satin
V1023018,Vivo Sarabi Strappy Low Back Dress | Vivo Sarabi Strappy Low Back Maxi Dress
V1024065,Vivo Dalia Cap Sleeve Gathered Knee Length Dress | Vivo Dalia Cap Sleeve Gathered Tent Dress
V1024105,Vivo Merika Satin Wrap Top | Vivo Merika Wrap Top
V1025006,Vivo Liora Drawstring Kimono Sleeve Top | Vivo Liora Drawstring Top
V1025009,Vivo Liora Wide Leg Pants | Vivo Liora Wide Leg Pants in Crepe
V1025034,Vivo Lulu Contrast Stitch Tent Dress in Cotton | Vivo Lulu Wide Hem Tent Dress | Vivo Lulu Wide Hem Tent Dress In Cotton
V1025037,Vivo Jersey Spaghetti Tank Top | Vivo Spaghetti Tank Top in Jersey
V1025053,Vivo Lulu Drawstring Top | Vivo Lulu Drawstring Top In Cotton
V1119113,Vivo Basic Sleeveless Jersey Waterfall | Vivo Everyday Sleeveless Jersey Waterfall
V1119122,Vivo Mali Tie No Ankara | Vivo Mali Tie Top No Ankara
V1120005,Vivo Zawadi Inverted Pleat Dress | Vivo zawadi inverted pleat dress
V1120036,Vivo Basic Val Cap Sleeve Top | Vivo Everyday Cap Sleeve Top | Vivo Everyday Cap Sleeve Top in Jersey
V1120122,Vivo Lindi High Low Dress | Vivo Lindi High Low Dress In Ponte
V1123058,Vivo Yumi Cap Sleeve Dress | Vivo Yumi Cap Sleeve Dress In Crepe
V1123080,Vivo Ajani V Neck Top | Vivo Ajani V-Neck Top | Vivo Ajani V-Neck Top in Crepe
V1123165,Vivo Sakari Circular Loose Top | Vivo Sakari Circular Loose Top in Chiffon
V1124086,Vivo Lalani Turtle Neck Sweater Dress | Vivo Lalani Turtleneck Sweater Dress
V1124142,Vivo Ava Front Pleat Knee Length Dress | Vivo Ava Front Pleat Knee Length Dress In Crepe
V1125001,Vivo Jersey Drop Shoulder Tank Top | Vivo Jersey Drop Shoulder Top
V1125005,Vivo Lulu Bubble Sleeve Top | Vivo Lulu Bubble Sleeve Top In Cotton
V1125014,Vivo Wrap Shawl | Vivo Wrap Shawl in Sweater
V1125035,Vivo Lulu 3/4 Sleeve Maxi Kaftan | Vivo Lulu 3/4 Sleeve Maxi Kaftan in Cotton
V1125041,Vivo Liora Scalloped Maxi Top | Vivo Liora Scalloped Maxi Top in Chiffon
V1221043,Vivo Basic Cap Sleeve Top in Satin | Vivo Basic Satin Cap Sleeve Top
V1223034,Vivo Asha Sleeveless Knee Length Dress | Vivo Asha Sleeveless Knee Length Dress In Crepe
VE0034A,Safari Shorts | Vivo Shorts
Z0422098,Zoya Brave Satin Joggers(Regular) | Zoya Brave Satin Joggers(Tall)
