sku,product_name,style_name,style_number,brand,product_type,price,price_source,retired_qty
Z1024021PR31X/2X,Zoya Aridi Cropped Jacket - Black / White - BLACK / WHITE / Z1024021 / 1X/2X,Zoya Aridi Cropped Jacket,Z1024021,Zoya,Jackets & Coats,2250,odoo,1
Z1024021PR5M/L,Zoya Aridi Cropped Jacket - Navy / Blue,Zoya Aridi Cropped Jacket,Z1024021,Zoya,Jackets & Coats,2050,catalog,1
Z1024021PR5XS/S,Zoya Aridi Cropped Jacket - Navy / Blue,Zoya Aridi Cropped Jacket,Z1024021,Zoya,Jackets & Coats,2050,catalog,1
Z0724060PINM/L,Zoya Banda Drop Shoulder Unisex Wide Jacket - Pink - PINK / Z0724060 / M/L,Zoya Banda Drop Shoulder Unisex Wide Jacket,Z0724060,Zoya,Jackets & Coats,750,odoo,1
Z0724050BLA3X,Zoya Banda Halter Neck Assymetrical Crop Top - Black - BLACK / Z0724050 / 3X,Zoya Banda Halter Neck Assymetrical Crop Top,Z0724050,Zoya,Loose Tops,1100,odoo,1
Z0724062BLUXS/S,Zoya Banda Unisex Shacket - Blue,Zoya Banda Unisex Shacket,Z0724062,Zoya,Accessories,2500,odoo,1
Z0724062PINXS/S,Zoya Banda Unisex Shacket - Pink,Zoya Banda Unisex Shacket,Z0724062,Zoya,Jackets & Coats,2500,odoo,1
Z0724059BLU1X/2X,Zoya Banda Waist Length Zipped Jacket - Blue - BLUE / Z0724059 / 1X/2X,Zoya Banda Waist Length Zipped Jacket,Z0724059,Zoya,Jackets & Coats,750,odoo,1
Z0724101BLAXS,Zoya Basic Halter Tie Top - Black - BLACK / Z0724101 / XS,Zoya Basic Halter Tie Top,Z0724101,Zoya,Loose Tops,350,odoo,1
Z0724101WHIS,Zoya Basic Halter Tie Top - White - WHITE / Z0724101 / S,Zoya Basic Halter Tie Top,Z0724101,Zoya,Loose Tops,250,odoo,1
Z0722035TAUXL,Zoya Basic Long Sleeve Bodycon - Taupe - TAUPE / Z0722035 / XL,Zoya Basic Long Sleeve Bodycon,Z0722035,Zoya,Knee Length Dresses,1800,odoo,1
Z0922062NABL,Zoya Basic Long Sleeve Top - Navy Blue - NAVY BLUE / Z0922062 / L,Zoya Basic Long Sleeve Top,Z0922062,Zoya,Loose Tops,1600,odoo,1
Z0724102NABM,Zoya Basic Racer Back Crop Top - Navy Blue - NAVY BLUE / Z0724102 / M,Zoya Basic Racer Back Crop Top,Z0724102,Zoya,Loose Tops,450,odoo,1
Z0819065MUS4X,Zoya Basic Tank Top - Mustard,Zoya Basic Tank Top,Z0819065,Zoya,T-shirts & Tank Tops,350,odoo,1
Z0819065WHIL,Zoya Basic Tank Top - White,Zoya Basic Tank Top,Z0819065,Zoya,T-shirts & Tank Tops,1250,odoo,1
Z0819065YEL4X,Zoya Basic Tank Top - Yellow,Zoya Basic Tank Top,Z0819065,Zoya,T-shirts & Tank Tops,250,odoo,1
Z0821148PR2S,Zoya Essentials Mini Bodycon - Black / Purple Geometric Print - BLACK / PURPLE GEOMETRIC PRINT / Z0821148 / S,Zoya Essentials Mini Bodycon,Z0821148,Zoya,Knee Length Dresses,2750,odoo,1
Z1124124GREXS,Zoya Kyro Pleated Mini Skirt - Grey - GREY / Z1124124 / XS,Zoya Kyro Pleated Mini Skirt,Z1124124,Zoya,Knee Length Skirts,450,odoo,1
Z1124120TAUS,Zoya Kyro Strappy Vest - Taupe - TAUPE / Z1124120 / S,Zoya Kyro Strappy Vest,Z1124120,Zoya,Loose Tops,950,odoo,1
Z0124043MUSM,Zoya Luna Cargo Pants - Mustard,Zoya Luna Cargo Pants,Z0124043,Zoya,Full Length Pants,1050,catalog,1
Z0124043MUSXS,Zoya Luna Cargo Pants - Mustard,Zoya Luna Cargo Pants,Z0124043,Zoya,Full Length Pants,1050,catalog,1
Z0124042BLA3X,Zoya Luna Drawstring Maxi Dress - Black,Zoya Luna Drawstring Maxi Dress,Z0124042,Zoya,Maxi Dresses,550,odoo,1
Z0124037BLAS,Zoya Luna Halter Neck Top - Black,Zoya Luna Halter Neck Top,Z0124037,Zoya,Midriff & Crop Tops,1750,odoo,1
