POS Location,Product Vendor,Subcategory,Product Title,SKU,Price,Discount,Returns,Units Sold,Net Sales
Vivo Village Market,,Body Mists & Fragrances,Ythera Diani Magic Fine Fragrance Mist,Y1020006DMBM120,1200,0,0,2,2069
Vivo Village Market,,Body Mists & Fragrances,Ythera Fierce Rose Fragrance Mist,Y1020006FIER120,1200,0,0,2,2069
Vivo Village Market,,Body Mists & Fragrances,Ythera Frangipani Fine Fragrance Mist,Y1020002FBM120,1200,0,0,1,1034
Vivo Village Market,,Body Mists & Fragrances,Ythera Goddess Fine Fragrance Mist,Y1020003GBM120,1200,0,0,4,4138
Vivo Village Market,,Body Mists & Fragrances,Ythera Vanilla Orchid Fine Fragrance Mist,Y1020004VBM120,1200,0,0,1,1034
Vivo Yaya,,Body Mists & Fragrances,Ythera Diani Magic Fine Fragrance Mist,Y1020006DMBM120,1200,0,0,2,2069
Vivo Yaya,,Body Mists & Fragrances,Ythera Frangipani Fine Fragrance Mist,Y1020002FBM120,1200,0,0,2,2069
Vivo Yaya,,Body Mists & Fragrances,Ythera Goddess Fine Fragrance Mist,Y1020003GBM120,1200,0,0,3,3103
Vivo Yaya,,Body Mists & Fragrances,Ythera Tuber Rose Fine Fragrance Mist,Y1020001RBM120,1200,0,0,1,1034
Vivo Yaya,,Body Mists & Fragrances,Ythera Vanilla Orchid Fine Fragrance Mist,Y1020004VBM120,1200,0,0,2,2069
