product_name,units_sold
Vivo Basic Panelled Leisure Pants - Dark Teal,215
Vivo Essi Wide Leg Pants - White,214
Vivo Asha Drop Shoulder Maxi Shirt Dress - Teal / Beige Print,214
Vivo Laika 3/4 Sleeve Tent Dress - White / Black Print,213
Vivo Selah Sleeveless Maxi Dress in Stretch Rib - Dark Taupe,212
Vivo Kani Wide Leg Pants in Crepe - Navy,212
Safari by Vivo Njano Drawstring Top in Cotton - Navy Blue,211
Vivo Laika 3/4 Sleeve Tent Dress - Cream / Rust Print,211
Vivo Ava Front Pleat Knee Length Dress - Off White / Black Print,210
Vivo Basic Cap Sleeve Maxi Tent Dress - Blue / Black Print,210
Vivo Zahari 3/4 Sleeve Off-Shoulder Jumpsuit - Black,209
Vivo Basic 3/4 Sleeve Kena Tent Knee Length Dress - Black,209
Vivo Everyday Short Waterfall in Jersey - Chocolate,208
Vivo Aleri Wide Leg Pants - Black,207
Vivo Basic Escape A-Line Dress - White,207
Vivo Bana Batwing Top in Jersey - Chocolate,206
Vivo Basic Tank Top - Dark Red,206
Vivo Lindi High Low Dress - Orange,204
Vivo Samira Slip Skirt - Black,203
Vivo Dua 3/4 Sleeved V Neck Shirt - Navy Blue,201
Vivo Kani Cap Sleeve Maxi Dress - Buttermilk / Hunters Nasi Print,201
Vivo Merika Satin Wrap Top - Peach / Burgundy Print,201
Vivo Gift Voucher,200
Vivo Zuri Cap Sleeve Knee Length Dress - White / Mustard Print,200
Vivo Basic Waridi Pencil Skirt - Navy Blue,199
Vivo Kani 3/4 Sleeve Knee Length Dress - Red,199
Vivo Zahari 3/4 Sleeve Off-Shoulder Jumpsuit - Teal / Mustard Print,198
Vivo Merika Satin Wrap Top - Off White / Black Print,198
Vivo Diella V-Neck Jumpsuit - Cream / Black Print,198
Vivo Diella Pleated Dress - Navy,198
Vivo Spaghetti Tank Top in Jersey - White,197
Vivo Ava Front Pleat Maxi Dress - Peach / Navy Print,197
Vivo Tatili Wide Leg Pants - Rust,197
Vivo Basic Ali Jacket - Black,197
Safari Tiwa Wide Leg Pants - Hunters,195
Vivo Basic Joy Sweater - Mustard,195
Vivo Iyana Cape Top in Chiffon - Black,195
Safari Dila Poncho - Dark Sage / Ivory,194
Vivo Laika 3/4 Sleeve Tent Dress - Black / White Print,194
Vivo Ponte Back Pleat Maxi Dress - Navy Blue,194
Vivo Liora Strappy Culotte Jumpsuit - Dark Green / Tan Print,194
Vivo Liora Strappy Culotte Jumpsuit - Navy / Tan Print,194
Vivo Lulu Wide Hem Tent Dress In Cotton - Tan,193
Safari Dila Poncho - Rust / Black,192
Vivo Lulu Denim Shorts - Navy,192
Vivo Basic Sleeveless Jersey Waterfall - Chocolate,191
Vivo Dua Wide Leg Pants - White,190
Vivo Iyana Wide Leg Pants - Black,190
Vivo Diella Pleated Dress - Maroon,190
Vivo Dua Wide Leg Pants - Burgundy,189
Vivo Basic Cap Sleeve Top in Satin - Black,188
Vivo Kani Bishop Sleeve Top - Maroon,187
Vivo Mini Butterfly Sweater - Grey,187
Vivo Basic Leila Short Waterfall - Maroon,187
Vivo Lulu Drawstring Top - White,187
Vivo Imara 3/4 Sleeve Tent Dress,186
Vivo Lulu Cotton Tent Mini Dress - White,186
Vivo Dalia Sleeveless Gathered Tent Dress - Beige / Black Print,185
Vivo Tanda Skirt & Top Set - Pink,185
Vivo Basic Capri Leggings - Navy Blue,183
Vivo Basic Trench Coat - Burgundy,183
Vivo Basic Sleeveless Tent Dress in Crepe - Mustard / Black Print,183
Vivo Basic Kena Tent Maxi Dress - Orange,182
Vivo Basic Kena Tent Maxi Dress - Navy Blue,182
Vivo Everyday Cap Sleeve Top - Navy,181
Vivo Kani Bishop Sleeve Top in Crepe - Hunters,181
Vivo Diella 3/4 Sleeve Pleated Dress - Mulberry,178
