Style Number,Style Name,Brand,Category,SKUs,Units Sold,Total Sales KES
V0925031,Vivo Anavi Short Sleeve Top,Vivo,Tops,17,248,625421
S1123101,Safari Lira Drawstring Knee Length Dress,Safari,Dresses,6,99,620532
V0719839,Vivo Basic Sleeveless Long Lily Waterfall,Vivo,Outerwear,11,183,614235
V0824066,Vivo Shaa Drop Shoulder Knee Length Dress,Vivo,Dresses,11,106,602650
V0625059,Vivo Aleri Trench Coat Dress,Vivo,Dresses,20,102,602319
V0824072,Vivo Amai Off-Shoulder Maxi Dress,Vivo,Dresses,3,99,599924
S0925040,Safari by Vivo Naledi Bubble Midi Dress,Safari,Dresses,21,100,599005
V0324028,Vivo Amai Asymmetrical Cape,Vivo,Tops,3,127,595267
Z0124043,Zoya Luna Cargo Pants,Zoya,Bottoms,31,233,590875
V0422075,Vivo Basic Chiffon Dropped Shoulder Top,Vivo,Tops,9,224,587257
S0425037,Shiv & Shikie X Safari Cargo Pants,Third Party Brands,Bottoms,10,103,585762
V1124081,Vivo Meli Halter Neck Dress,Vivo,Dresses,4,143,577560
V1021027,Vivo Lani Satin High Low Dress,Vivo,Dresses,2,112,575328
V0325069,Vivo Analo Wide Leg Pants,Vivo,Bottoms,15,168,574176
V0424100,Vivo Tatari Panelled Skirt,Vivo,Skirts,8,224,572567
V0625032,Vivo Aleri A-Line Pleated Dress,Vivo,Dresses,10,133,570065
V1023042,Vivo Ava 3/4 Sleeve Kimono,Vivo,Outerwear,8,120,565365
S0223180,Safari Mali Bishop Sleeve Shirt Dress,Safari,Dresses,8,121,563537
V0623041,Vivo Sia 3/4 Bishop Sleeve Shift Dress (Petite),Vivo,Dresses,4,126,561750
V0722034,Vivo Basic Julia 3/4 Sleeve Back Pleat Knee Length Dress,Vivo,Dresses,10,159,559885
V0825033,Vivo Nuru Strappy Top,Vivo,Tops,12,196,557134
V1024063,Vivo Basic Hooded Kimono,Vivo,Outerwear,6,114,551905
V1020111,Vivo Lamu 3/4 Sleeve Double Layered Bodycon,Vivo,Dresses,7,143,551898
V0624073,Vivo Kala Gathered Front Top,Vivo,Tops,7,205,551866
V0324082,Vivo Kelemi Hooded Kimono,Vivo,Outerwear,13,86,546559
V0525043,Vivo Samira Maxi Kimono,Vivo,Outerwear,17,91,545055
