Style Number,Style Name,Brand,Category,SKUs,Units Sold,Total Sales KES
VE0014T,Vivo Tulia Travel Jumpsuit,Vivo,Bottoms,3,5,12881
VE05232,Vivo Kitenge Strappy Jumpsuit,Vivo,Bottoms,2,4,12600
S0223033,Safari Nimali 3/4 Sleeve Maxi Dress,Safari,Dresses,1,2,12510
Z1124119,Zoya Kyro Women's Oversized Blazer,Zoya,Outerwear,5,7,12406
V0819120,Vivo Basic Sienna Waterfall,Vivo,Outerwear,2,5,12305
V1024030,Vivo Beali Shirred Midriff Top,Vivo,Tops,1,8,12285
V0523208,Vivo X Pinky Sleeveless Cross Back Fitness Tank Top,Vivo,Tops,7,40,11397
V0923013,Vivo Naya Strappy Midi Body-Con Dress,Vivo,Dresses,6,8,11254
VE0020T,Vivo Essentials Lounge Pants,Vivo,Bottoms,3,4,11100
S0123091,Safari Mali Wrap Lapel Top,Safari,Tops,1,4,11100
Z1123055,Zoya Party Sheer Pants,Zoya,Bottoms,5,7,10878
S0623073,Safari Anga Wide Shorts,Safari,Bottoms,2,5,10810
S0925062,Safari By Vivo Mens Cotton Long Sleeve Shirt,Safari,Tops,2,2,10800
S1123112,Safari Lira Drop Shoulder Dress,Safari,Dresses,1,3,10758
VE0060D,Vivo Nimali Satin Flounce Kimono,Vivo,Outerwear,1,2,10710
VE0002M,Vivo Essentials Biker Shorts,Vivo,Bottoms,4,6,10500
VE0055R,Vivo Nimali Satin Joggers,Vivo,Bottoms,3,5,10250
VE0054D,Vivo Nimali Satin Halter Top,Vivo,Tops,3,4,10200
V0923055,Vivo Ava Jumpsuit,Vivo,Bottoms,3,4,10164
S0124011,Safari Haya Off Shoulder Maxi Dress,Safari,Dresses,3,3,9925
V1223038,Vivo Hanabi High Low Top,Vivo,Tops,1,3,9750
VE0054L,Vivo Nimali Satin Halter Top,Vivo,Tops,5,5,9750
V1222259,Vivo Fitness Bikers,Vivo,Bottoms,3,22,9716
S0224200,Safari Tie Back Maxi Dress,Safari,Dresses,1,2,9645
VE0002W,Vivo Essentials Biker Shorts,Vivo,Bottoms,5,8,9400
V0523207,Vivo X Pinky Long Sleeve Cross Back Fitness Playsuit,Vivo,Bottoms,3,13,9300
V1019066,Vivo Basic Sleeveless Leila Bodycon Dress,Vivo,Dresses,1,4,9040
VE0017B,Vivo Essentials Bandeau,Vivo,Tops,5,12,9000
V0724019,Vivo Kelemi Satin Boat Neck Midriff Top,Vivo,Tops,1,4,9000
VE0061D,Vivo Nimali Satin Short Kimono,Vivo,Outerwear,2,3,8800
VE0002T,Vivo Essentials Biker Shorts,Vivo,Bottoms,4,5,8750
Z1124125,Zoya Kyro Cropped Shirt,Zoya,Tops,2,6,8700
V0624025,Vivo Kitenge Strappy Tie Back Top,Vivo,Tops,1,3,8700
P21DX80,Lace-Up Back Spaghetti-Strap Dress,Third Party Brands,Dresses,3,13,8528
Z1123007,Zoya Sitawi Round Neck Midriff Top,Zoya,Tops,8,12,8440
Z0822081,Zoya Nia Off Shoulder Puff Sleeve Top,Zoya,Tops,7,9,8400
DH0001L,Denim Haven High Rise Skinny Ripped Jeans,Third Party Brands,Bottoms,1,8,8260
VE0029K,Vivo Tiered Shirt Dress,Vivo,Dresses,1,2,8250
VE0029S,Vivo Tiered Shirt Dress,Vivo,Dresses,2,3,8040
RFS0125,Vivo Knee length Dress,Vivo,Sale,3,10,7950
V0923025,Vivo Zaria Pleated Sleeve Top,Vivo,Tops,1,12,7937
VE0041A,Vivo Sleeveless Blazer,Vivo,Outerwear,2,2,7900
VE0010B,Vivo Essentials Sleeveless One Shoulder Crop Top,Vivo,Tops,3,8,7733
VE0047E,Vivo Cargo Pants,Vivo,Bottoms,1,2,7650
V1123064,Vivo Arafa V-Neck Bodycon,Vivo,Dresses,1,2,7650
CXSZSX7,Anika Ribbed Pencil Skirt,Third Party Brands,Skirts,4,7,7630
V0223140,Vivo Basic Nalia Satin High Low Top,Vivo,Tops,1,4,7500
VE0003Y,Vivo Essentials Capri Leggings,Vivo,Bottoms,1,3,7500
V0224238,Vivo 2-Way Wrap Top,Vivo,Tops,2,3,7423
V0922097,Vivo Arusha Wide Drop Shoulder Tunic Top,Vivo,Tops,1,10,7404
Z1223003,Zoya Sitawi Bodycon,Zoya,Dresses,3,3,7140
V0523201,Vivo X Pinky Sleeveless Cross Back Fitness Bra,Vivo,Tops,7,25,7120
V0723054,Vivo Jira Hooded Poncho,Vivo,Outerwear,3,5,7000
V0324071,Vivo Azawi 3/4 Sleeve Top,Vivo,Tops,1,5,6970
V0323017,Vivo Basic Drop Shoulder Dolman Dress,Vivo,Dresses,2,5,6790
Z0220118,Zoya Basic Bodycon,Zoya,Dresses,4,4,6650
V1222209,Vivo Lumi Cuffed Dolman Maxi Dress,Vivo,Dresses,1,1,6550
Z0324044,Zoya Yuni Contrast Stitch Crop Jacket,Zoya,Outerwear,2,3,6467
V0523223,Vivo Taji Straight Leg Pants,Vivo,Bottoms,1,2,6400
V0524006,Vivo X Essence Ruffle Neck Jumpsuit,Vivo,Bottoms,1,1,6250
VE0029I,Vivo Tiered Shirt Dress,Vivo,Dresses,1,1,6186
VE0001W,Vivo Essentials Tank Top,Vivo,Tops,3,4,6045
V0522027,Vivo Zena Sleeveless Shawl Collar Overcoat,Vivo,Outerwear,1,5,6000
V1122055,Vivo Raha Satin Joggers,Vivo,Bottoms,5,17,5986
S0120016,Safari Reversible Shirt Jacket,Safari,,1,1,5950
V0222237,Vivo Jamila Halter Neck Maxi Dress,Vivo,Dresses,1,1,5950
V1222332,Vivo Lumi Back Pleat Maxi Dress,Vivo,Dresses,1,1,5950
V0124041,Vivo Arafa Wrap Top,Vivo,Tops,1,5,5935
V0823141,Vivo Golf Fly Front Shorts,Vivo,Bottoms,5,5,5760
S0524187,Safari Bush Sweatshirt,Safari,Tops,1,2,5750
Z0220060,Zoya Capri Leggings,Zoya,Bottoms,4,4,5550
Z1123021,Zoya Party Drawstring Hoodie,Zoya,Outerwear,2,2,5500
V0320040,Vivo Basic Boundneck Puff Sleeve Top,Vivo,Tops,3,4,5400
V0223224,Vivo Basic Shirt,Vivo,,2,2,5250
Z0124041,Zoya Luna High Slit Dress,Zoya,Dresses,4,6,5181
VE0003O,Vivo Essentials Capri Leggings,Vivo,Bottoms,1,2,5000
VE0020B,Vivo Essentials Lounge Pants,Vivo,Bottoms,1,2,4900
P21DX79,Double O-ring Cami Dress,Third Party Brands,Dresses,4,7,4840
AN00237,Anika Pleated Highwaist Aline Side Zipper Short Skater Skirt,Third Party Brands,Skirts,1,7,4700
V0424028,Vivo Saida Long Sleeve Jacket,Vivo,Outerwear,1,2,4650
V0923052,Vivo Ava Tapered Pants,Vivo,Bottoms,1,3,4650
V0222135,Vivo Basic Straight Skirt,Vivo,Skirts,2,4,4600
VE0009B,Vivo Essentials Strappy Cold Shoulder Top,Vivo,Tops,1,2,4558
S0522015,Safari Kaya Long Sleeve Collar Shirt,Safari,Tops,1,1,4550
Z0724062,Zoya Banda Unisex Shacket,Zoya,Outerwear,2,2,4500
Z0824037,Zoya Temo Pleated Skirt,Zoya,Skirts,1,3,4450
V0424030,Vivo Saida Ruffle Neck Sheath Dress,Vivo,Dresses,1,2,4450
S1124151,Safari Sizani Men's Kitenge Tuxedo Shirt,Safari,Tops,1,1,4400
S0424037,Safari Men's Shacket,Safari,Tops,1,1,4350
V0823185,Vivo Naya Flounce Sleeve Kimono,Vivo,Outerwear,1,1,4350
Z0724057,Zoya Banda Lantern Pants,Zoya,Bottoms,3,10,4342
VE0054N,Vivo Nimali Satin Halter Top,Vivo,Tops,1,3,4250
S1122042,Safari Mara Cape Top,Safari,Tops,1,2,4200
Z0124042,Zoya Luna Drawstring Maxi Dress,Zoya,Dresses,3,3,4050
P21SX70,Classic Flared Miniskirt,Third Party Brands,Skirts,3,8,3920
VE0036A,Vivo Culottes,Vivo,Bottoms,1,1,3900
VE0050S,Vivo Joggers,Vivo,Bottoms,1,2,3900
V0625028,Vivo Diella 3/4 Sleeve Pleated Dress,Vivo,Sale,1,1,3900
S0824026,Safari Njano Mens Bound Neck Shirt,Safari,Tops,1,2,3750
Z0324070,Zoya Yuni One Shoulder Crop Top,Zoya,Tops,2,5,3634
V0822006,Vivo Tana Scalloped V-Neck Top,Vivo,Tops,2,4,3624
Z0123052,Zoya Party One Sleeved Side Cut Dress,Zoya,Dresses,4,15,3470
S0622001,Safari Kaya Long Sleeve Dolman Flounce Shirt Dress,Safari,Dresses,1,1,3465
VE0050B,Vivo Joggers,Vivo,Bottoms,1,1,3445
VE0050L,Vivo Joggers,Vivo,Bottoms,1,1,3445
VE0075B,Vivo Nimali Side Flounce Top,Vivo,Tops,2,3,3380
S1122036,Safari Mara Wide Bishop Sleeve Top,Safari,Tops,1,1,3150
V0823L1,Vivo Naya One Shoulder Flounce Top,Vivo,Tops,1,3,3120
V0822004,Vivo Tana Jersey Tulip Back Waterfall,Vivo,Outerwear,2,2,2950
VE0055D,Vivo Nimali Satin Joggers,Vivo,Bottoms,1,1,2950
V0925017,Vivo Ria Waterfall,Vivo,Outerwear,1,1,2750
V0820002,Vivo Basic 3/4 Sleeve Sheath Dress,Vivo,Dresses,1,1,2750
V1123166,Vivo Sakari Cap Sleeve Drape Top,Vivo,Tops,1,1,2750
S1122050,Safari Mara 3/4 Sleeve Flounce Tunic Top,Safari,Tops,1,3,2700
VE0055W,Vivo Nimali Satin Joggers,Vivo,Bottoms,1,1,2550
VE0054W,Vivo Nimali Satin Halter Top,Vivo,Tops,1,1,2550
V0724025,Vivo Fimi Strappy Jumpsuit,Vivo,Bottoms,1,1,2400
P21TX94,Key Hole Halter with Seamed Body,Third Party Brands,Tops,3,5,2320
Z0124037,Zoya Luna Halter Neck Top,Zoya,Tops,2,2,2300
S0923075,Safari Kikoy Long Sleeve Shacket,Safari,Outerwear,1,1,2210
V0822007,Vivo Tana 3/4 Tulip Sleeve Overlap Maxi Top,Vivo,Tops,2,2,2150
V0823120,Vivo Naya Cigarette Pants,Vivo,Bottoms,1,1,2000
Z1123024,Zoya Party Sleeveless Bodysuit,Zoya,Tops,1,1,1950
V0223222,Vivo Fasi Strapless Top,Vivo,Tops,3,9,1883
V0220053,Vivo Basic May Jersey Waterfall,Vivo,Outerwear,1,1,1850
VE0078Y,Vivo Essentials Drop Shoulder Top,Vivo,Tops,1,1,1750
V0719006,Vivo Basic 3/4 Sleeve A-Line Maxi Dress,Vivo,Dresses,1,1,1750
V1222273,Vivo Fitness Shorts,Vivo,Bottoms,4,5,1397
S0524182,Safari Tie Knee Length Dress,Safari,Dresses,1,1,1350
V0321038,Vivo 3/4 Sleeve J.O Jersey A-line Knee Length Dress,Vivo,Dresses,1,1,1350
FS02231,Vivo Waterfalls & Kimonos,Vivo,Sale,1,2,1260
P21DZ77,Popular 21 Ribbed Long-Sleeve Mini Dress,Third Party Brands,Dresses,2,3,1232
S0424198,Safari Men's Short Sleeve Shirt,Safari,Tops,1,2,1190
V0523204,Vivo X Pinky Full Length Fitness Leggings,Vivo,Bottoms,2,4,1160
V0221017,Vivo Zuri Long Sleeved Blouse,Vivo,Tops,1,1,950
V0719293,Vivo Basic Faux Pocket Leisure Pants,Vivo,Bottoms,1,1,800
LOL2210,Black Leopard Print Cut-out One Shoulder Bodycon Dress,Third Party Brands,Dresses,1,2,780
VE0034M,Vivo Shorts,Vivo,Bottoms,1,1,632
Z1123026,Zoya Party Tie Back Bodycon,Zoya,Dresses,1,1,550
Z1123018,Zoya Party Turtle Neck Maxi Top,Zoya,Tops,2,2,500
V1022073,Vivo Raha Wide Leg Shorts,Vivo,Bottoms,3,3,410
Z0719149,Zoya Basic Capri Leggings,Zoya,Bottoms,1,1,350
V1222257,Vivo Fitness Spaghetti Strap Tank Top,Vivo,Tops,2,4,297
Z0123058,Zoya Party Halter Crop Top,Zoya,Tops,1,1,200
