sku,barcode
SISU00003BLU24,70149508
SISU00004BLU24,70149509
SISU00002RED24,70149507
AFRI0001GRE24,70149506
NARU00015N,70148005
AFR000010BLKF,70151257
AFR000011BRO/CRMF,70151258
AFR00008MUSF,70151255
AFR00009REDF,70151256
AFR00007RUSF,70151254
AYAAPSDBLUXS,70105484
AYAAPSDBLUS,70105485
AYAAPSDBLUM,70105486
AYAAPSDBLUL,70105487
AYAAPSDBLUXL,70105488
AYAAPSDBLUXXL,70105489
AYAAPSDBLUXXXL,70105490
AFR30003BLAM,70153316
AY00006BLACKXS,70147112
AY00006BLACKS,70147142
AY00006BLACKM,70147143
AY00006BLACKL,70147144
AY00006BLACKXL,70147145
AY00006BLACK2XL,70147146
AY00006BLACK3XL,70147147
AY00004NVYBLUXS,70147097
AY00004NVYBLUS,70147098
AY00004NVYBLUM,70147099
AY00004NVYBLUL,70147100
AY00004NVYBLUXL,70147101
AY00004NVYBLU2XL,70147102
AY00004NVYBLU3XL,70147103
AY00004REDXS,70147089
AY00004REDS,70147090
AY00004REDM,70147091
AY00004REDL,70147092
AY00004REDXL,70147093
AY00004RED2XL,70147094
AY00004RED3XL,70147095
AY00007RUSTXS,70147113
AY00007RUSTS,70147148
AY00007RUSTM,70147149
AY00007RUSTL,70147150
AY00007RUSTXL,70147151
AY00007RUST2XL,70147152
AY00007RUST3XL,70147153
AYARYSDBLAXS,70125589
AYARYSDBLAS,70125590
AYARYSDBLAM,70125591
AYARYSDBLAL,70125592
AYARYSDBLAXL,70125593
AYARYSDBLAXXL,70125594
AYARYSDBLA3XL,70125595
AYARYSDBLA4XL,70125596
AYAAPJBLU/BLAXS,70105498
AYAAPJBLU/BLAS,70105499
AYAAPJBLU/BLAM,70105500
AYAAPJBLU/BLAL,70105501
AYAAPJBLU/BLAXL,70105502
AYAAPJBLU/BLAXXL,70105503
AYAAPJBLU/BLAXXXL,70105504
AYAMDBBLAXS,70108335
AYAMDBBLAS,70108336
AYAMDBBLAM,70108337
AYAMDBBLAL,70108338
AYAMDBBLAXL,70108339
AYAMDBBLAXXL,70108340
AYAMDBBLAXXXL,70108341
AYAZMGGRNXS,70108342
AYAZMGGRNS,70108343
AYAZMGGRNM,70108344
AYAZMGGRNL,70108345
AYAZMGGRNXL,70108346
AYAZMGGRNXXL,70108347
AYAZMGGRNXXXL,70108348
AY00016BWXS,70150114
AY00016BWS,70150115
AY00016BWM,70150116
AY00016BWL,70150117
AY00016BWXL,70150118
AY00016BW2XL,70150119
AY00016BW3XL,70150120
BBAOBBLAXS,70098096
BBAOBBLAS,70098097
BBAOBBLAM,70098098
BBAOBBLAL,70098099
BBAOBBLAXL,70098100
BBAOBBLAXXL,70098101
BBAOBBLAXXXL,70098102
BBAOBBLAXXXXL,70098103
AYBJ2022BLAXS,70101661
AYBJ2022BLAS,70101662
AYBJ2022BLAM,70101663
AYBJ2022BLAL,70101664
AYBJ2022BLAXL,70101665
AYBJ20222XL,70101666
AYBJ2022BLAXXXL,70101667
AFYUCHMJPSBLAXS,70087499
AFYUCHMJPSBLAS,70087500
AFYUCHMJPSBLAM,70087501
AFYUCHMJPSBLAL,70087502
AFYUCHMJPSBLAXL,70087503
AFYUCHMJPSBLAXXL,70087504
AFYUCHMJPSBLA3XL,70087505
AFYUCHMJPSBBLA4XL,70087506
AFYUCHMJPSRRUSXS,70091276
AFYUCHMJPSRRUSTS,70091277
AFYUCHMJPSRRUSM,70091278
AFYUCHMJPSRRUSL,70091279
AFYUCHMJPSRRUSXL,70091280
AFYUCHMJPSRRUSXXL,70091281
AFYUCHMJPSRRUS3XL,70091282
